,sensor_id,time,incoming,outgoing,range,date,hour,minute,total,location_name
227,52,2021-06-17 13:15:10.833012+00:00,1,0,1min,2021-06-17,13,15,1,reitan_7eleven_carlberner
228,52,2021-06-17 13:16:47.327955+00:00,1,0,1min,2021-06-17,13,16,1,reitan_7eleven_carlberner
229,52,2021-06-17 13:19:00.084540+00:00,0,1,1min,2021-06-17,13,19,1,reitan_7eleven_carlberner
230,52,2021-06-17 13:19:39.314333+00:00,0,1,1min,2021-06-17,13,19,1,reitan_7eleven_carlberner
231,52,2021-06-17 13:20:24.576722+00:00,1,1,1min,2021-06-17,13,20,2,reitan_7eleven_carlberner
232,52,2021-06-17 13:20:33.629528+00:00,1,0,1min,2021-06-17,13,20,1,reitan_7eleven_carlberner
233,52,2021-06-17 13:22:25.346249+00:00,0,1,1min,2021-06-17,13,22,1,reitan_7eleven_carlberner
234,52,2021-06-17 13:22:55.617264+00:00,1,0,1min,2021-06-17,13,22,1,reitan_7eleven_carlberner
235,52,2021-06-17 13:24:08.079886+00:00,1,0,1min,2021-06-17,13,24,1,reitan_7eleven_carlberner
236,52,2021-06-17 13:27:27.499416+00:00,0,1,1min,2021-06-17,13,27,1,reitan_7eleven_carlberner
237,52,2021-06-17 13:28:06.763522+00:00,1,0,1min,2021-06-17,13,28,1,reitan_7eleven_carlberner
