Player Id,Tackles,wontackles,duels,wonduels,passes,wonpasses,interception,Last_Name,First_Name
19151,45,0.8,176,0.454545455,1264,0.720727848,43,Brunt,Chris
19159,57,0.754385965,243,0.547325103,2595,0.852408478,83,Williams,Ashley
19160,26,0.884615385,106,0.613207547,647,0.890262751,13,Djourou,Johan
19188,43,0.604651163,129,0.573643411,644,0.703416149,36,Dann,Scott
19196,31,0.903225806,248,0.318548387,469,0.718550107,21,Mackie,Jamie
19197,1,1,5,0.2,10,0.7,0,Puncheon,Jason
19236,1,0,8,0.5,1221,0.57985258,2,Ruddy,John
19272,63,0.793650794,247,0.700404858,915,0.750819672,24,McAuley,Gareth
19321,5,0.8,109,0.330275229,208,0.716346154,4,Jackson,Simeon
19341,51,0.764705882,177,0.610169492,1164,0.746563574,44,Martin,Russell
19419,24,0.791666667,202,0.579207921,978,0.787321063,53,Cahill,Gary
19556,19,0.736842105,79,0.518987342,725,0.812413793,13,Jones,David
19557,12,0.833333333,107,0.299065421,312,0.756410256,2,Ebanks-Blake,Sylvain
19569,56,0.839285714,218,0.504587156,1185,0.772151899,41,Johnson,Bradley
19602,9,0.888888889,46,0.47826087,84,0.726190476,7,Vukcevic,Simon
19645,3,0.666666667,30,0.466666667,80,0.7,5,Campbell,DJ
19688,34,0.705882353,369,0.447154472,1001,0.827172827,29,Sinclair,Scott
19714,60,0.7,180,0.516666667,442,0.610859729,24,Wilkinson,Andy
19718,4,0.75,17,0.647058824,111,0.801801802,3,Nelsen,Ryan
19740,22,0.818181818,74,0.5,461,0.681127983,30,Taiwo,Taye
19921,37,0.756756757,154,0.409090909,1396,0.82234957,62,Meireles,Raul
19930,78,0.705128205,290,0.579310345,1067,0.866916589,47,Mark Davies,0
19946,1,1,3,0.666666667,11,0.727272727,1,Ephraim,Hogan
19958,43,0.813953488,186,0.548387097,585,0.688888889,53,Wheater,David
19959,13,0.615384615,102,0.352941176,626,0.817891374,14,Adam Johnson,0
20066,2,1,7,0.714285714,1419,0.507399577,3,Hennessey,Wayne
20141,25,0.68,126,0.436507937,848,0.752358491,25,Dorrans,Graham
20208,62,0.709677419,320,0.534375,1542,0.73151751,44,Adam,Charlie
20226,54,0.740740741,458,0.436681223,1311,0.82761251,48,Dempsey,Clint
20312,11,0.545454545,95,0.410526316,411,0.846715328,4,T�vez,Carlos
20359,17,0.764705882,104,0.653846154,348,0.764367816,24,Samba,Christopher
20450,45,0.8,346,0.456647399,805,0.741614907,11,Doyle,Kevin
20452,23,0.739130435,340,0.423529412,641,0.689547582,27,Long,Shane
20467,18,0.777777778,309,0.343042071,973,0.701952724,17,Walcott,Theo
20480,2,0,13,0.538461538,1421,0.475017593,0,Krul,Tim
20481,54,0.796296296,167,0.479041916,796,0.791457286,62,Ireland,Stephen
20488,32,0.59375,170,0.488235294,742,0.789757412,36,Traore,Armand
20492,53,0.754716981,253,0.561264822,809,0.815822002,35,Richards,Micah
20589,3,0.333333333,14,0.642857143,61,0.836065574,2,Orlandi,Andrea
20658,70,0.8,190,0.594736842,895,0.817877095,44,Zabaleta,Pablo
20664,47,0.70212766,275,0.454545455,2151,0.834495583,37,Silva,David
20695,66,0.787878788,294,0.43537415,1384,0.778179191,29,Antonio Valencia,0
21060,85,0.811764706,465,0.475268817,1318,0.751138088,74,Guti�rrez,Jon�s
21083,62,0.725806452,426,0.462441315,1112,0.791366906,42,Dyer,Nathan
21091,100,0.73,396,0.474747475,2261,0.839893852,66,Song,Alexandre
21094,32,0.65625,164,0.670731707,1055,0.841706161,59,Agger,Daniel
26725,69,0.811594203,278,0.561151079,1963,0.76464595,31,Jos� Enrique,0
